01/000,0
01/001,0
01/002,0
01/003,0
01/004,0
01/005,1
01/006,0
01/007,1
01/008,0
01/009,0
01/010,0
01/011,1
01/012,0
01/013,0
01/014,0
01/015,0
01/016,0
01/017,0
01/018,0
01/019,1
01/020,0
01/021,0
01/022,0
01/023,0
01/024,1
01/025,1
01/026,0
01/027,0
01/028,0
01/029,1
01/030,0
01/031,0
01/032,0
01/033,1
01/034,0
01/035,1
01/036,0
01/037,0
01/038,0
01/039,0
01/040,0
01/041,0
01/042,0
01/043,0
01/044,0
01/045,1
01/046,0
01/047,0
02/000,1
02/001,0
02/002,0
02/003,1
02/004,0
02/005,1
02/006,1
02/007,1
02/008,1
02/009,0
02/010,1
02/011,1
02/012,1
02/013,0
02/014,1
02/015,0
02/016,0
02/017,0
02/018,1
02/019,1
02/020,1
02/021,0
02/022,1
02/023,0
02/024,1
02/025,0
02/026,1
02/027,1
02/028,1
02/029,0
02/030,0
02/031,0
02/032,0
02/033,0
02/034,1
02/035,1
02/036,1
02/037,0
02/038,1
02/039,0
02/040,0
02/041,0
02/042,1
02/043,1
02/044,0
02/045,0
02/046,0
02/047,1
