01/000,1
01/001,1
01/002,1
01/003,1
01/004,1
01/005,1
01/006,1
01/007,1
01/008,1
01/009,1
01/010,1
01/011,1
01/012,1
01/013,1
01/014,1
01/015,1
01/016,1
01/017,1
01/018,1
01/019,1
01/020,1
01/021,1
01/022,1
01/023,1
01/024,1
01/025,1
01/026,1
01/027,1
01/028,1
01/029,1
01/030,1
01/031,1
01/032,1
01/033,1
01/034,1
01/035,1
01/036,1
01/037,1
01/038,1
01/039,1
01/040,1
01/041,1
01/042,1
01/043,1
01/044,1
01/045,1
01/046,1
01/047,1
01/048,1
01/049,1
01/050,1
01/051,1
01/052,1
01/053,1
01/054,1
01/055,1
01/056,1
01/057,1
01/058,1
01/059,1
01/060,1
01/061,1
01/062,1
01/063,1
01/064,1
02/000,1
02/001,1
02/002,1
02/003,1
02/004,1
02/005,1
02/006,1
02/007,1
02/008,1
02/009,1
02/010,1
02/011,1
02/012,1
02/013,1
02/014,1
02/015,1
02/016,1
02/017,1
02/018,1
02/019,1
02/020,1
02/021,1
02/022,1
02/023,1
02/024,1
02/025,1
02/026,1
02/027,1
02/028,1
02/029,1
02/030,1
02/031,1
02/032,1
02/033,1
02/034,1
02/035,1
02/036,1
02/037,1
02/038,1
02/039,1
02/040,1
02/041,1
02/042,1
02/043,1
02/044,1
02/045,1
02/046,1
02/047,1
02/048,1
02/049,1
02/050,1
02/051,1
02/052,1
02/053,1
02/054,1
02/055,1
02/056,1
02/057,1
02/058,1
02/059,1
02/060,1
02/061,1
02/062,1
02/063,1
02/064,1
02/065,1
02/066,1
02/067,1
02/068,1
02/069,1
02/070,1
02/071,1
02/072,1
02/073,1
02/074,1
02/075,1
02/076,1
02/077,1
02/078,1
02/079,1
02/080,1
02/081,1
02/082,1
02/083,1
02/084,1
02/085,1
02/086,1
02/087,1
02/088,1
02/089,1
02/090,1
02/091,1
02/092,1
02/093,1
02/094,1
02/095,1
02/096,1
02/097,1
02/098,1
02/099,1
02/100,1
02/101,1
02/102,1
02/103,1
02/104,1
02/105,1
02/106,1
02/107,1
02/108,1
02/109,1
02/110,1
02/111,1
02/112,1
02/113,1
02/114,1
02/115,1
02/116,1
02/117,1
02/118,1
02/119,1
02/120,1
02/121,1
02/122,1
02/123,1
02/124,1
02/125,1
02/126,1
02/127,1
02/128,1
02/129,1
02/130,1
02/131,1
02/132,1
02/133,1
02/134,1
02/135,1
02/136,1
02/137,1
02/138,1
02/139,1
02/140,1
02/141,1
02/142,1
02/143,1
02/144,1
02/145,1
02/146,1
02/147,1
02/148,1
02/149,1
